# x,y,<bush>,<cookie>,<natural prey>,<shadow>,<visibility>
28520,11031,0,0,0,0,0
28518,11032,0,0,0,0,0
28518,11033,0,0,0,0,0
28517,11032,0,0,0,0,0
28520,11030,0,0,0,0,0
28519,11031,0,0,0,0,0
28519,11032,0,0,0,0,0
28518,11034,0,0,0,0,0
28515,11036,0,0,0,0,0
28514,11038,0,0,0,0,0
28513,11039,0,0,0,0,0
28514,11041,0,0,0,0,0
28512,11040,0,0,0,0,0
28511,11042,0,0,0,0,0
28510,11043,0,0,0,0,0
28509,11045,0,0,0,0,0
28508,11045,0,0,0,0,0
28509,11047,0,0,0,0,0
28510,11053,0,0,0,0,0
28510,11052,0,0,0,0,0
28510,11054,0,0,0,0,0
28510,11057,0,0,0,0,0
28508,11057,0,0,0,0,0
28509,11057,0,0,0,0,0
28508,11064,0,0,0,0,0
28507,11059,0,0,0,0,0
28508,11057,0,0,0,0,0
28508,11057,0,0,0,0,0
28509,11058,0,0,0,0,0
28510,11060,0,0,0,0,0
28511,11059,0,0,0,0,0
28511,11061,0,0,0,0,0
28512,11063,0,0,0,0,0
28514,11064,0,0,0,0,0
28514,11065,0,0,0,0,0
28513,11065,0,0,0,0,0
28514,11068,0,0,0,0,0
28515,11069,0,0,0,0,0
28516,11069,0,0,0,0,0
28517,11070,0,0,0,0,0
28516,11069,0,0,0,0,0
28516,11068,0,0,0,0,0
28517,11068,0,0,0,0,0
28519,11070,0,0,0,0,0
28520,11071,0,0,0,0,0
28521,11071,0,0,0,0,0
28522,11071,0,0,0,0,0
28523,11070,0,0,0,0,0
28525,11071,0,0,0,0,0
28526,11071,0,0,0,0,0
28527,11072,0,0,0,0,0
28527,11071,0,0,0,0,0
28528,11071,0,0,0,0,0
28528,11070,0,0,0,0,0
28529,11070,0,0,0,0,0
28528,11069,0,0,0,0,0
28528,11069,0,0,0,0,0
28528,11068,0,0,0,0,0
28529,11068,0,0,0,0,0
28528,11068,0,0,0,0,0
28528,11067,0,0,0,0,0
28529,11067,0,0,0,0,0
28529,11067,0,0,0,0,0
28529,11066,0,0,0,0,0
28529,11065,0,0,0,0,0
28529,11065,0,0,0,0,0
28529,11065,0,0,0,0,0
28529,11065,0,0,0,0,0
28535,11042,0,0,0,0,0
28537,11043,0,0,0,0,0
28536,11042,0,0,0,0,0
28535,11042,0,0,0,0,0
28537,11042,0,0,0,0,0
28536,11043,0,0,0,0,0
28536,11043,0,0,0,0,0
28535,11043,0,0,0,0,0
28535,11042,0,0,0,0,0
28535,11041,0,0,0,0,0
28535,11042,0,0,0,0,0
28535,11042,0,0,0,0,0
28535,11042,0,0,0,0,0
28532,11044,0,0,0,0,0
28533,11050,0,0,0,0,0
28536,11055,0,0,0,0,0
28537,11059,0,0,0,0,0
28531,11062,0,0,0,0,0
28529,11063,0,0,0,0,0
28531,11063,0,0,0,0,0
28531,11063,0,0,0,0,0
28530,11063,0,0,0,0,0
28530,11064,0,0,0,0,0
28532,11065,0,0,0,0,0
28532,11065,0,0,0,0,0
28532,11066,0,0,0,0,0
28532,11067,0,0,0,0,0
28531,11068,0,0,0,0,0
28531,11068,0,0,0,0,0
28530,11069,0,0,0,0,0
28531,11070,0,0,0,0,0
28533,11072,0,0,0,0,0
28533,11073,0,0,0,0,0
28534,11075,0,0,0,0,0
28534,11076,0,0,0,0,0
28535,11077,0,0,0,0,0
28536,11079,0,0,0,0,0
28537,11081,0,0,0,0,0
28538,11082,0,0,0,0,0
28538,11083,0,0,0,0,0
28539,11085,0,0,0,0,0
28540,11087,0,0,0,0,0
28540,11088,0,0,0,0,0
28542,11089,0,0,0,0,0
28542,11091,0,0,0,0,0
28542,11092,0,0,0,0,0
28543,11093,0,0,0,0,0
28544,11095,0,0,0,0,0
28545,11096,0,0,0,0,0
28546,11098,0,0,0,0,0
28547,11098,0,0,0,0,0
28547,11100,0,0,0,0,0
28549,11100,0,0,0,0,0
28548,11100,0,0,0,0,0
28548,11100,0,0,0,0,0
28548,11099,0,0,0,0,0
28548,11099,0,0,0,0,0
28549,11098,0,0,0,0,0
28551,11097,0,0,0,0,0
28552,11097,0,0,0,0,0
28552,11097,0,0,0,0,0
28551,11097,0,0,0,0,0
