# x,y,<bush>,<cookie>,<natural prey>,<shadow>,<turn>,<visibility>
28092,11183,0,0,0,0,0,1
28092,11178,0,0,0,0,0,1
28091,11175,0,0,0,0,0,1
28091,11173,0,0,0,0,0,1
28090,11171,0,0,0,0,0,1
28090,11168,0,0,0,0,0,1
28091,11166,0,0,0,0,0,1
28091,11163,0,0,0,0,0,1
28090,11162,0,0,0,0,0,1
28090,11158,0,0,0,0,0,1
28091,11157,0,0,0,0,0,1
28091,11155,0,0,0,0,0,1
28091,11155,0,0,0,0,0,1
28091,11153,0,0,0,0,0,1
28091,11151,0,0,0,0,0,1
28090,11148,0,0,0,0,0,1
28091,11147,0,0,0,0,0,1
28091,11145,0,0,0,0,0,1
28091,11144,0,0,0,0,0,1
28090,11144,0,0,0,0,0,1
28089,11143,0,0,0,0,0,1
28089,11144,0,0,0,0,0,1
28088,11142,0,0,0,0,0,1
28089,11143,0,0,0,0,0,1
28089,11145,0,0,0,0,0,1
28088,11143,0,0,0,0,0,1
28088,11145,0,0,0,0,0,1
28089,11144,0,0,0,0,0,1
28087,11142,0,0,0,0,0,1
28088,11143,0,0,0,0,0,1
28087,11143,0,0,0,0,0,1
28087,11141,0,0,0,0,0,1
28085,11140,0,0,0,0,0,1
28085,11139,0,0,0,0,0,1
28083,11137,0,0,0,0,0,1
28081,11135,0,0,0,0,0,1
28081,11133,0,0,0,0,0,1
28079,11131,0,0,0,0,0,1
28077,11130,0,0,0,0,0,1
28075,11130,0,0,0,0,0,1
28073,11128,0,0,0,0,0,1
28072,11126,0,0,0,0,0,1
28071,11124,0,0,0,0,0,1
28070,11120,0,0,0,0,0,1
28070,11118,0,0,0,0,0,1
28071,11116,0,0,0,0,0,1
28071,11115,0,0,0,0,0,1
28071,11114,0,0,0,0,0,1
28073,11112,0,0,0,0,0,1
28074,11110,0,0,0,0,0,1
28074,11108,0,0,0,0,0,1
28074,11107,0,0,0,0,0,1
28074,11107,0,0,0,0,0,1
28073,11108,0,0,0,0,0,1
28072,11108,0,0,0,0,0,1
28072,11106,0,0,0,0,0,1
28071,11103,0,0,0,0,0,1
28071,11102,0,0,0,0,0,1
28071,11103,0,0,0,0,0,1
28071,11102,0,0,0,0,0,1
28070,11102,0,0,0,0,0,1
28070,11103,0,0,0,0,0,1
28071,11103,0,0,0,0,0,1
28071,11104,0,0,0,0,0,1
28071,11105,0,0,0,0,0,1
28072,11105,0,0,0,0,0,1
28072,11107,0,0,0,0,0,1
28071,11106,0,0,0,0,0,1
28071,11105,0,0,0,0,0,1
