# x,y,<bush>,<cookie>,<natural prey>,<shadow>,<turn>,<visibility>
27977,10821,0,0,0,0,0,1
27977,10821,0,0,0,0,0,1
27977,10821,0,0,0,0,0,1
27978,10822,0,0,0,0,0,1
27978,10821,0,0,0,0,0,1
27976,10821,0,0,0,0,0,1
27975,10820,0,0,0,0,0,1
27976,10820,0,0,0,0,0,1
27976,10820,0,0,0,0,0,1
27976,10820,0,0,0,0,0,1
27977,10819,0,0,0,0,0,1
27978,10819,0,0,0,0,0,1
27978,10820,0,0,0,0,0,1
27976,10822,0,0,0,0,0,1
27975,10822,0,0,0,0,0,1
27975,10823,0,0,0,0,0,1
27975,10822,0,0,0,0,0,1
27974,10822,0,0,0,0,0,1
27974,10822,0,0,0,0,0,1
27973,10822,0,0,0,0,0,1
27975,10822,0,0,0,0,0,1
27978,10819,0,0,0,0,0,1
27980,10821,0,0,0,0,0,1
27981,10821,0,0,0,0,0,1
27981,10821,0,0,0,0,0,1
27981,10820,0,0,0,0,0,1
27981,10820,0,0,0,0,0,1
27981,10820,0,0,0,0,0,1
27982,10821,0,0,0,0,0,1
27987,10823,0,0,0,0,0,1
27987,10823,0,0,0,0,0,1
27988,10824,0,0,0,0,0,1
27986,10822,0,0,0,0,0,1
27988,10821,0,0,0,0,0,1
27986,10824,0,0,0,0,0,1
27984,10826,0,0,0,0,0,1
27979,10827,0,0,0,0,0,1
27980,10831,0,0,0,0,0,1
27981,10831,0,0,0,0,0,1
27985,10829,0,0,0,0,0,1
27987,10826,0,0,0,0,0,1
27987,10826,0,0,0,0,0,1
27988,10827,0,0,0,0,0,1
27992,10828,0,0,0,0,0,1
27994,10829,0,0,0,0,0,1
27997,10832,0,0,0,0,0,1
27997,10835,0,0,0,0,0,1
27999,10839,0,0,0,0,0,1
28000,10845,0,0,0,0,0,1
28002,10846,0,0,0,0,0,1
28003,10845,0,0,0,0,0,1
28004,10847,0,0,0,0,0,1
27998,10849,0,0,0,0,0,1
27998,10848,0,0,0,0,0,1
28003,10845,0,0,0,0,0,1
28004,10846,0,0,0,0,0,1
28004,10846,0,0,0,0,0,1
28003,10848,0,0,0,0,0,1
28004,10851,0,0,0,0,0,1
28005,10853,0,0,0,0,0,1
